date,Cultivation_area,output,price
2010-01-21,2,0,1396
2010-01-22,0,0,1392
2010-01-23,0,0,0
2010-01-24,0,0,0
2010-01-25,0,0,1410
2010-01-26,0,0,1410
2010-01-27,0,0,1408
2010-01-28,0,0,1438
2010-01-29,0,0,1433
2010-01-30,0,0,0
2010-01-31,0,0,0
2010-02-01,0,0,1422
2010-02-02,0,0,1419
2010-02-03,0,0,1419
2010-02-04,0,0,1424
2010-02-05,0,0,1384
2010-02-06,0,0,0
2010-02-07,0,0,0
2010-02-08,0,0,1319
2010-02-09,0,0,1314
2010-02-10,0,0,1321
2010-02-11,0,0,1327
2010-02-12,0,0,1364
2010-02-13,0,0,0
2010-02-14,0,0,0
2010-02-15,0,0,0
2010-02-16,0,0,1369
2010-02-17,0,0,1369
2010-02-18,0,0,1422
2010-02-19,0,0,1463
2010-02-20,0,0,0
2010-02-21,0,0,0
2010-02-22,0,0,1467
2010-02-23,0,0,1460
2010-02-24,0,0,1404
2010-02-25,0,0,1389
2010-02-26,0,0,1339
2010-02-27,0,0,0
2010-02-28,0,0,0
2010-03-01,0,0,0
2010-03-02,1,0,1393
2010-03-03,0,0,1435
2010-03-04,0,0,1447
2010-03-05,0,0,1447
2010-03-06,0,0,0
2010-03-07,0,0,0
2010-03-08,0,0,1436
2010-03-09,0,0,1441
2010-03-10,0,0,1441
2010-03-11,2,2,1549
2010-03-12,0,0,1537
2010-03-13,0,0,0
2010-03-14,0,0,0
2010-03-15,0,0,1563
2010-03-16,0,0,1563
2010-03-17,0,0,1563
2010-03-18,0,0,1459
2010-03-19,0,0,1422
2010-03-20,0,0,0
2010-03-21,0,0,0
2010-03-22,0,0,1446
2010-03-23,0,0,1454
2010-03-24,0,0,1462
2010-03-25,0,0,1632
2010-03-26,0,0,1616
2010-03-27,0,0,0
2010-03-28,0,0,0
2010-03-29,1,3,1782
2010-03-30,0,0,1838
2010-03-31,0,0,1738
2010-04-01,0,0,1835
2010-04-02,0,0,1913
2010-04-03,0,0,0
2010-04-04,0,0,0
2010-04-05,0,0,1891
2010-04-06,0,0,1884
2010-04-07,0,0,1885
2010-04-08,0,0,2107
2010-04-09,0,0,2114
2010-04-10,0,0,0
2010-04-11,0,0,0
2010-04-12,0,1,2229
2010-04-13,0,0,2219
2010-04-14,0,0,2230
2010-04-15,0,0,2204
2010-04-16,1,2,2238
2010-04-17,0,0,0
2010-04-18,0,0,0
2010-04-19,0,0,2303
2010-04-20,0,0,2346
2010-04-21,0,0,2354
2010-04-22,0,0,2719
2010-04-23,0,0,2797
2010-04-24,0,0,0
2010-04-25,0,0,0
2010-04-26,0,0,3051
2010-04-27,0,0,3032
2010-04-28,0,0,3039
2010-04-29,3,1,2944
2010-04-30,0,0,2903
2010-05-01,0,0,0
2010-05-02,0,0,0
2010-05-03,3,0,3118
2010-05-04,0,0,3118
2010-05-05,0,0,0
2010-05-06,2,0,2801
2010-05-07,0,0,2592
2010-05-08,0,0,0
2010-05-09,0,0,0
2010-05-10,0,0,2544
2010-05-11,3,0,2545
2010-05-12,0,0,2405
2010-05-13,0,0,2374
2010-05-14,0,0,2315
2010-05-15,0,0,0
2010-05-16,0,0,0
2010-05-17,0,0,2003
2010-05-18,4,0,1997
2010-05-19,0,0,1997
2010-05-20,0,0,1993
2010-05-21,0,0,0
2010-05-22,0,0,0
2010-05-23,0,0,0
2010-05-24,0,0,2032
2010-05-25,0,1,2021
2010-05-26,0,1,1994
2010-05-27,0,0,1907
2010-05-28,0,0,1929
2010-05-29,0,0,0
2010-05-30,0,0,0
2010-05-31,0,0,1914
2010-06-01,0,0,1928
2010-06-02,0,0,0
